origin,destination,area,ttpTravelTime
"43.52061699999996 , -72.45801400000006","43.483755999999865 , -72.63543800000029",urban-urban,1673
"44.852932999999936 , -72.89446800000022","44.678559100000065 , -73.0157971999999",urban-urban,1865
"44.20939300000004 , -72.10097700000014","44.41611900000001 , -72.17563700000002",urban-urban,2069
"42.753876200000235 , -72.67368879999992","42.92278900000003 , -72.62608799999944",urban-urban,2015
"42.87793700000002 , -72.69472000000007","43.04763900000021 , -72.59646699999976",urban-urban,2023
"44.666487 , -73.03948100000026","44.83233999999992 , -72.89474600000032",urban-urban,2024
"42.92426000000001 , -72.74651999999975","43.07943800000004 , -72.57937000000011",urban-urban,2046
"42.886397000000144 , -72.91963900000022","42.752976 , -72.72719600000022",urban-urban,1904
"42.80724980000019 , -72.81974490000005","42.79435699999996 , -72.59843300000006",urban-urban,1892
"44.86046799999979 , -72.85579499999997","44.7183228 , -73.00654410000001",urban-urban,1732
"44.82193200000003 , -72.89087499999997","44.65904199999965 , -73.03186099999925",urban-urban,1826
"42.946055000000165 , -72.61983000000009","42.76910900000003 , -72.68853999999993",urban-urban,1912
"42.77381599999991 , -72.61238000000009","42.938673999999935 , -72.72013100000004",urban-urban,2050
"42.95464400000011 , -72.5962427000003","42.961742000000065 , -72.84443100000013",urban-urban,2048
"42.817381099999935 , -73.28559460000022","42.75949099999983 , -73.04864400000012",urban-urban,1992
"44.19613650000013 , -72.09612299999954","44.38427300000001 , -72.1795180000001",urban-urban,1765
"44.86119100000004 , -72.80410099999993","44.73801100000003 , -72.99551499999997",urban-urban,1897
"42.923341700000044 , -72.71273140000004","43.10160800000001 , -72.58176700000014",urban-urban,2059
"44.694182999999924 , -73.01212900000006","44.867525999999835 , -72.83833799999998",urban-urban,2000
"44.942799000000065 , -72.77061600000015","44.79490900000009 , -72.93309899999991",urban-urban,2035
"42.949455000000015 , -72.7853660000001","42.78915599999998 , -72.66832500000031",urban-urban,1958
"43.24512099999983 , -73.09358199999996","43.448557999999956 , -73.05537100000012",urban-urban,1963
"44.908035 , -72.75958099999997","44.75600399999981 , -72.95977699999976",urban-urban,2041
"44.83860069999997 , -72.80523860000002","44.73742799999987 , -73.01654600000006",urban-urban,1990
"44.65425959999999 , -73.01978420000029","44.817313000000034 , -72.89841300000002",urban-urban,1711
"44.99071599999998 , -71.95291300000041","44.896738000000056 , -72.1245500000003",urban-urban,1965
"44.88317599999983 , -72.826885","44.74791399999991 , -72.97707610000036",urban-urban,1573
"44.26020900000005 , -72.08172299999978","44.375064999999914 , -72.3095139999999",urban-urban,2008
"44.911643900000165 , -72.79951729999999","44.766578999999986 , -72.93478400000001",urban-urban,1967
"42.90687000000003 , -72.88643099999938","42.7680160000002 , -72.74455799999978",urban-urban,1619
"44.92100699999993 , -72.59759300000036","44.802554999999984 , -72.76678799999983",urban-urban,2005
"44.99543100000013 , -71.95834899999984","44.90576699999994 , -72.13503800000001",urban-urban,1827
"42.82658299999993 , -72.79665499999973","43.01117200000008 , -72.76259700000001",urban-urban,1982
"44.81368799999994 , -72.9333730000003","44.95886800000008 , -72.77361000000015",urban-urban,2067
"42.73922900000016 , -72.69840300000004","42.89165000000004 , -72.59881699999988",urban-urban,2046
"44.169911999999925 , -72.13696200000071","44.35918800000003 , -72.24630599999998",urban-urban,1979
"42.81792089999996 , -73.28611959999996","42.7716899999999 , -73.0504850000003",urban-urban,1898
"44.96628400000006 , -71.96106199999983","44.88927600000005 , -72.13253600000033",urban-urban,1850
"44.22115200000016 , -72.15564999999984","44.39256100000016 , -72.30334699999966",urban-urban,2027
"44.88072199999983 , -72.83100399999998","44.71975799999969 , -73.02522899999997",urban-urban,2033
"44.32322099999979 , -72.17679900000029","44.10236480000007 , -72.23834350000021",urban-urban,2058
