origin,destination,area,ttpTravelTime
"38.13427699999999 , -77.1974409999998","38.117045999999846 , -77.33539900000004",urban-urban,1648
"38.58410400000014 , -77.5404370000006","38.50299550000005 , -77.34677680000013",urban-urban,2060
"37.146784999999596 , -77.96954199999993","36.97585899999982 , -77.85553400000002",urban-urban,2038
"37.05677399999986 , -80.94465400000078","37.04738400000002 , -80.78874900000008",urban-urban,1828
"38.55648900000005 , -77.55151500000014","38.42329209999992 , -77.40524549999955",urban-urban,1991
"36.9264659999997 , -82.33532099999955","36.93153399999982 , -82.14713600000076",urban-urban,1953
"36.818574999999605 , -78.29462999999949","36.66636139999996 , -78.3808000999993",urban-urban,1588
"38.03426400000023 , -77.28879600000033","38.143129999999864 , -77.1656489999995",urban-urban,1666
"36.57178699999999 , -79.61527799999973","36.70318999999998 , -79.54496800000028",urban-urban,1658
"36.6164379999999 , -82.28387999999987","36.72517500000001 , -82.32022099999988",urban-urban,1812
"37.25330599999999 , -80.83431400000043","37.30203280000019 , -80.65277520000042",urban-urban,1757
"36.732946 , -82.32320499999987","36.65765599999993 , -82.29318399999997",urban-urban,1556
"36.810823000000056 , -78.30729100000062","36.642103999999925 , -78.40804500000002",urban-urban,1678
"36.73226709999991 , -75.93899830000026","36.90017259999998 , -75.99145490000022",urban-urban,1927
"36.78662100000002 , -79.37119699999988","36.62473200000003 , -79.48272599999994",urban-urban,1702
"38.61743900000015 , -77.51675400000073","38.52374120000013 , -77.38713710000009",urban-urban,1845
"36.63882599999995 , -76.09250900000008","36.725585 , -76.28925",urban-urban,1780
"36.824642000000196 , -81.83523500000014","36.75209600000015 , -81.70017699999998",urban-urban,1689
"38.099793800000036 , -77.1596747000002","38.11773899999997 , -77.34632189999986",urban-urban,1809
"38.51313390000001 , -77.3877396","38.60010789999995 , -77.59427079999958",urban-urban,1827
"38.8880723000002 , -77.23575200000043","38.77361300000015 , -77.27829499999987",urban-urban,1534
"38.54239199999979 , -77.4264229999996","38.65135329999992 , -77.56855129999961",urban-urban,1973
"36.726480699999904 , -75.93674860000026","36.86918630000016 , -76.02658970000034",urban-urban,1739
"36.90865299999999 , -81.79145500000004","36.796789699999835 , -81.83758199999976",urban-urban,1671
"36.970668300000014 , -77.95313439999994","36.877419000000025 , -77.75945000000011",urban-urban,2062
"36.848373999999716 , -79.29087500000014","36.943017999999675 , -79.49400800000032",urban-urban,1810
"36.95620500000019 , -81.70614099999997","36.87306750000024 , -81.81299450000076",urban-urban,1981
"38.187916999999885 , -77.35260499999998","38.08172499999994 , -77.23557800000034",urban-urban,2004
"36.73646700000006 , -75.94064369999964","36.878837999999966 , -75.983525",urban-urban,1695
"38.75868500000009 , -77.46038299999977","38.84010499999987 , -77.58213900000013",urban-urban,1538
"36.91892010000004 , -75.99675810000015","36.74355810000006 , -75.94339679999965",urban-urban,1944
