origin,destination,area,ttpTravelTime
"47.553481100000155 , -119.17046109999991","47.69920789999971 , -119.20972069999986",urban-urban,1738
"46.48212739999991 , -117.52649730000022","46.551531100000005 , -117.33118749999974",urban-urban,1979
"47.48441440000009 , -118.33579549999945","47.377880899999916 , -118.62588710000004",urban-urban,2063
"47.002718700000095 , -117.72417440000079","46.84220862499979 , -117.73948792499965",urban-urban,1919
"46.09876890000013 , -117.08684059999983","46.24439540000013 , -117.00176479999982",urban-urban,1681
"47.370379999999706 , -118.71441539999981","47.465301500000116 , -118.39953619999973",urban-urban,2013
"46.96714370000001 , -117.69349160000017","46.83289980000059 , -117.55915449999986",urban-urban,1904
"47.324436000000006 , -122.15211060000013","47.48596410000003 , -122.28673160000001",urban-urban,1989
"47.51625780000022 , -118.46066100000077","47.348565199999896 , -118.62998490000041",urban-urban,1841
"47.46510569999983 , -118.4501937000002","47.31991459999997 , -118.63299560000003",urban-urban,1848
"47.966077999999904 , -118.0139239999998","47.99046650000018 , -117.77725839999981",urban-urban,1757
"47.06816439999983 , -122.5672386000001","47.10335440000004 , -122.29136940000025",urban-urban,1848
"46.54212199999999 , -118.05274449999979","46.3621354000004 , -118.04593840000047",urban-urban,1991
"47.997092400000135 , -119.08113489999998","48.00509699999986 , -119.36505600000035",urban-urban,1775
"46.539177999999964 , -123.73186200000008","46.57743300000001 , -123.52516379999993",urban-urban,1807
"46.85690230000001 , -117.65711020000045","46.83904899999997 , -117.90878739999968",urban-urban,2017
"47.10187500000001 , -122.27791799999977","47.07616720000022 , -122.56320160000027",urban-urban,1973
"47.08493310000013 , -122.64937740000025","47.112742000000026 , -122.32894600000016",urban-urban,1768
"47.99957199999993 , -119.48879899999983","47.81551599999999 , -119.55539799999967",urban-urban,1913
"47.068591900000186 , -122.26675199999958","47.20194540000025 , -122.45243259999997",urban-urban,1806
"47.140655000000095 , -122.4171859999999","47.02826450000002 , -122.62003080000058",urban-urban,2055
"46.48929800000002 , -123.80943399999968","46.36903609999996 , -123.7311916999998",urban-urban,1778
"47.720621399999594 , -119.04062339999976","47.52392259999996 , -119.06403040000006",urban-urban,1827
"47.3392962 , -118.60462190000013","47.514411000000045 , -118.4996019999999",urban-urban,2022
"47.37589379999988 , -118.65280259999987","47.464184500000144 , -118.31860717499984",urban-urban,1779
"46.65792860000001 , -123.79365580000014","46.745735500000045 , -123.53359760000001",urban-urban,2034
"47.95331899999991 , -118.00515299999981","47.997544300000186 , -117.76188729999981",urban-urban,1848
"48.607672900000196 , -117.28402029999994","48.734365499999974 , -117.34168289999997",urban-urban,1740
"47.00305900000048 , -122.44308180000058","47.17332380000008 , -122.27519230000004",urban-urban,2064
"48.588407200000034 , -117.25866379999984","48.710769200000236 , -117.34972000000054",urban-urban,1827
"47.94421729999999 , -117.83778099999996","47.94437000000008 , -118.07494500000008",urban-urban,2060
"47.1195112000002 , -122.52019160000042","47.049582200000025 , -122.23035599999973",urban-urban,1891
"47.00113029999979 , -118.37442959999937","46.83635219999999 , -118.48385429999986",urban-urban,2026
"46.17746140000165 , -122.99592939999985","46.284770999999886 , -123.10764999999984",urban-urban,1694
"47.01697400000026 , -117.42862250000007","47.007208 , -117.66344730000002",urban-urban,1835
"47.032914599999906 , -122.23138400000009","47.11438600000074 , -122.48114389999965",urban-urban,1797
"46.282364999999885 , -123.13133100000023","46.16049410000004 , -123.0215402000002",urban-urban,1905
"47.38263850000011 , -118.63765329999998","47.48831779999962 , -118.35672189999963",urban-urban,1749
"47.41178349999986 , -118.32567290000003","47.435572700000144 , -118.60807660000033",urban-urban,1997
"46.53962780000001 , -123.51204700000008","46.53922299999995 , -123.73235899999992",urban-urban,1792
"47.94862000000011 , -118.0760689999999","47.98202650000018 , -117.81684609999984",urban-urban,1966
"46.75621000000011 , -123.51848720000048","46.67984350000011 , -123.6853659999998",urban-urban,1750
