origin,destination,area,ttpTravelTime
"38.628176999999795 , -80.2957859999999","38.67825099999984 , -80.47655300000025",urban-urban,1882
"38.22329900000019 , -82.25503700000034","38.24872000000016 , -82.0903970000007",urban-urban,1803
"39.312247700000086 , -81.14813439999986","39.398956000000226 , -81.0321549999999",urban-urban,2062
"37.37805560000008 , -81.03275340000009","37.43025800000011 , -80.89820300000017",urban-urban,1857
"38.29409600000004 , -82.00089099999994","38.1564930000001 , -82.01098500000015",urban-urban,2036
"38.10035100000008 , -82.03867200000003","38.17502100000018 , -82.1686359999998",urban-urban,2002
"38.73608500000005 , -81.55889900000003","38.83684250000006 , -81.42270419999993",urban-urban,2001
"38.05793600000008 , -80.14137299999992","37.93030399999991 , -80.26931800000064",urban-urban,1992
"39.54459180000013 , -80.54008480000032","39.42727100000001 , -80.64719299999985",urban-urban,1882
"39.29677170000001 , -79.92671350000015","39.18491100000004 , -79.96552900000003",urban-urban,1793
"38.48115200000012 , -81.50837300000009","38.6110230000001 , -81.33247100000033",urban-urban,1929
"37.56246070000009 , -80.83915080000016","37.42228700000027 , -80.81554700000044",urban-urban,1683
"38.34413659999998 , -82.09777450000011","38.48865799999987 , -82.00551599999996",urban-urban,2006
"39.68709500000011 , -80.54862000000031","39.59329900000014 , -80.6187230000003",urban-urban,1555
"38.653911000000065 , -81.40996199999994","38.48819599999991 , -81.47360299999974",urban-urban,1848
"37.456211500000194 , -81.8522834999996","37.388833000000105 , -81.72910699999997",urban-urban,1652
"37.5884919999999 , -80.84415900000046","37.44363219999998 , -80.81008180000018",urban-urban,1932
"37.35804220000019 , -81.54624149999975","37.282203500000044 , -81.63051279999964",urban-urban,1964
"39.263306000000036 , -79.81175100000007","39.140733500000046 , -79.77684889999989",urban-urban,1811
"38.36599500000011 , -81.98215999999992","38.213924999999875 , -82.01225200000005",urban-urban,1954
"37.40351600000009 , -81.28979399999987","37.50316199999988 , -81.36307200000005",urban-urban,1876
"38.27706000000003 , -82.04786700000015","38.18921600000011 , -82.16750699999999",urban-urban,1688
"38.70144200000005 , -80.57204000000002","38.6284419999998 , -80.38994599999984",urban-urban,2053
"37.523845999999935 , -81.11574199999978","37.616767699999535 , -81.0041388999997",urban-urban,2061
"38.146886999999985 , -82.08493400000002","38.25517920000001 , -81.99870760000017",urban-urban,2030
"39.13865999999987 , -79.73442299999985","39.226171200000124 , -79.87161629999979",urban-urban,1664
"39.099512 , -79.80935299999992","39.0719064000001 , -80.00223899999983",urban-urban,1781
"38.29354799999992 , -81.99047899999997","38.15649500000009 , -82.01434800000014",urban-urban,1957
"39.1776053 , -79.85247599999987","39.29421399999991 , -79.79123299999979",urban-urban,2045
"38.34404449999998 , -82.10304610000013","38.462794999999886 , -82.007981",urban-urban,1738
"37.716034 , -82.10002499999997","37.78390600000005 , -81.99469799999977",urban-urban,2005
"37.98214000000002 , -80.31154199999996","38.03830100000028 , -80.16205099999927",urban-urban,2029
"38.91031800000012 , -81.36143999999985","39.005383000000045 , -81.5013590000001",urban-urban,1895
"39.14630899999987 , -79.82323099999978","39.276657999999976 , -79.84459400000007",urban-urban,1931
"38.409776799999925 , -82.14233090000005","38.550727000000144 , -82.18466300000011",urban-urban,1896
"37.47284489999998 , -80.85884499999986","37.409858799999974 , -80.71045509999986",urban-urban,1639
"37.880984100000184 , -81.09231519999996","37.77386110000001 , -81.22428420000034",urban-urban,1540
"38.08403699999976 , -82.07813800000007","38.21532300000003 , -82.05607699999997",urban-urban,1955
"39.64748589999983 , -79.5999879999999","39.562580000000075 , -79.5007890000002",urban-urban,1901
"38.9132080000001 , -81.37023099999993","39.000080000000075 , -81.50496299999999",urban-urban,1885
"38.63039200000022 , -80.34726100000006","38.71189100000012 , -80.50648299999997",urban-urban,1918
"38.82170399999979 , -80.3240960000001","38.76611700000002 , -80.51217099999958",urban-urban,1958
"39.04549200000006 , -79.97034070000021","39.098002000000015 , -79.81837000000003",urban-urban,1538
"39.71006450000012 , -79.84386970000017","39.68320000000019 , -79.71232600000008",urban-urban,1538
"38.92017700000002 , -81.3419919999999","38.943336999999985 , -81.52014100000002",urban-urban,1905
"38.322932000000016 , -82.00292499999992","38.173168000000004 , -81.96642100000004",urban-urban,1997
"38.00542800000015 , -80.21700400000003","37.886289999999946 , -80.1675610000004",urban-urban,1840
"39.56926999999998 , -80.50645100000006","39.45563999999999 , -80.62091500000017",urban-urban,1963
"39.42445899999988 , -80.65778200000001","39.53856030000007 , -80.56497310000005",urban-urban,1887
"39.40783599999997 , -80.1135749999998","39.29844599999997 , -80.08315000000024",urban-urban,1838
"39.3652860000003 , -81.02291399999999","39.495425999999924 , -81.03843499999985",urban-urban,1956
"38.16455100000022 , -81.98640599999986","38.305768 , -82.00246599999984",urban-urban,1983
"37.750461999999985 , -80.52928299999999","37.86615650000008 , -80.37866439999932",urban-urban,1670
"37.75649319999997 , -81.50251780000013","37.703189999999864 , -81.67927199999963",urban-urban,1898
"38.93341800000006 , -81.37615399999987","39.00161700000005 , -81.52957999999995",urban-urban,1779
"39.143562200000076 , -79.8693234000002","39.05634350000002 , -80.01339990000056",urban-urban,2061
"39.535982899999986 , -80.53800609999978","39.423129000000074 , -80.64969800000013",urban-urban,1768
"38.60157000000013 , -81.3008179999999","38.50779950000027 , -81.47841680000043",urban-urban,2032
"37.48176699999995 , -80.86645699999984","37.41884379999998 , -80.69273849999979",urban-urban,1775
"38.3755150000001 , -82.08607499999975","38.49557749999989 , -81.96484140000045",urban-urban,1716
"37.377529000000486 , -81.0507267999995","37.39580729999985 , -80.89788360000004",urban-urban,1819
"39.02081399999998 , -81.60587070000025","39.07729000000012 , -81.4351979999999",urban-urban,1827
"37.42375340000007 , -80.67677840000012","37.469454100000014 , -80.86248729999996",urban-urban,1727
"39.412375000000075 , -80.65920400000013","39.50447479999998 , -80.55625359999996",urban-urban,1634
"37.72614440000002 , -80.7226552","37.71618599999998 , -80.56286400000052",urban-urban,1784
"37.49843999999996 , -80.86643999999981","37.59426699999999 , -80.76235399999979",urban-urban,1658
"38.63675890000011 , -80.31348739999996","38.70755000000028 , -80.47826500000005",urban-urban,1924
"39.56707599999998 , -80.51210200000004","39.453232999999955 , -80.56869400000019",urban-urban,1714
"39.1340878999999 , -79.73408690000053","39.22158030000011 , -79.83897920000034",urban-urban,1653
"39.7179460000002 , -79.7470950000001","39.627287000000045 , -79.74388400000016",urban-urban,1554
"39.49471119999995 , -80.58535700000027","39.470370999999915 , -80.73694399999998",urban-urban,1919
"38.04507500000006 , -80.1530759999999","37.88819099999999 , -80.19699000000001",urban-urban,2059
"38.42843489999979 , -82.42227070000001","38.3140272 , -82.35546270000005",urban-urban,1731
"39.42624779999992 , -80.74696580000015","39.48330950000011 , -80.58385190000016",urban-urban,1640
"39.414963999999934 , -80.4082189999993","39.50428500000018 , -80.29245799999966",urban-urban,2043
"38.69142800000012 , -80.37918700000009","38.73174900000007 , -80.56482499999996",urban-urban,2024
"37.37090299999977 , -81.18092099999991","37.46425500000014 , -81.09592499999972",urban-urban,1879
"38.67753900000005 , -80.5209339999993","38.64129680000027 , -80.30140030000017",urban-urban,2047
"37.49996170000001 , -80.8553974","37.615106999999924 , -80.7323860000003",urban-urban,2019
"37.88913800000017 , -82.06115599999997","38.003072000000024 , -82.09411599999994",urban-urban,1630
"37.67749400000001 , -80.58450499999984","37.743711000000204 , -80.73205000000061",urban-urban,1750
"38.648142000000185 , -81.70206099999993","38.71989300000004 , -81.84507800000023",urban-urban,1756
"37.90317 , -81.07503400000003","37.76548889999991 , -81.17279630000037",urban-urban,1616
"37.545006000000235 , -81.06093399999989","37.66560540000048 , -81.0092246999998",urban-urban,1903
"39.31263399999993 , -79.78427399999978","39.18237970000009 , -79.84652229999949",urban-urban,2000
"38.16422700000021 , -81.99356699999986","38.264693 , -82.10128900000004",urban-urban,1810
"37.542623999999854 , -81.04767800000003","37.652413799999785 , -80.94908950000018",urban-urban,1727
"37.88812199999994 , -80.1748110000004","38.01078699999997 , -80.17618100000007",urban-urban,1672
"38.082493700000114 , -80.12980699999959","37.96176500000001 , -80.2069510000004",urban-urban,1545
"37.61593300000004 , -80.716051","37.495557 , -80.84753",urban-urban,2028
"39.5629765999999 , -80.59308710000016","39.449661999999954 , -80.55850800000019",urban-urban,1679
"38.07864130000008 , -80.14344039999992","37.9313319999999 , -80.22938800000027",urban-urban,1751
