origin,destination,area,ttpTravelTime
"45.2860734999999 , -91.42979359999991","45.508144000000016 , -91.33759200000027",urban-urban,1952
"43.7598050000002 , -89.68365899999978","44.068527000000124 , -89.74194000000003",urban-urban,1996
"45.30683299999965 , -92.34431299999949","45.24834789999998 , -91.92689679999995",urban-urban,2027
"43.903949000000075 , -89.77818199999984","43.617599800000036 , -89.76508349999959",urban-urban,1973
"42.78830470000045 , -89.1705112999997","42.52756800000012 , -89.26268900000014",urban-urban,1989
"46.00666700000008 , -89.04199899999968","45.76056140000021 , -88.92083230000023",urban-urban,2067
"45.04560030000007 , -88.20181140000024","45.28948800000034 , -88.17930899999972",urban-urban,1717
"45.048575099999766 , -88.24690309999974","45.30411980000033 , -88.18704360000007",urban-urban,1963
"46.804230799999935 , -90.85319380000006","46.56935489999992 , -90.96109139999987",urban-urban,1982
"45.30548059999976 , -88.13897959999923","45.051107400000326 , -88.2016579000001",urban-urban,1894
"45.82090169999997 , -88.62443719999989","45.826782800000295 , -88.99637910000065",urban-urban,2005
"43.90397799999999 , -90.05128500000004","44.21052599999977 , -90.13241400000024",urban-urban,2018
"46.58765569999995 , -90.90071069999992","46.62020299999991 , -91.2640287000001",urban-urban,1886
"46.081698000000095 , -90.63460799999986","46.32560399999999 , -90.44232900000024",urban-urban,2061
"46.66618880000007 , -90.90270940000045","46.60344050000002 , -91.24976979999992",urban-urban,1975
"46.92105839999999 , -90.9144131999999","46.682551600000046 , -90.89643260000011",urban-urban,1825
"44.45562399999999 , -90.46642899999976","44.79905399999978 , -90.48566000000024",urban-urban,1956
"42.80829400000006 , -88.89804875000002","42.64265699999997 , -89.13036600000002",urban-urban,1946
"42.56358600000015 , -89.22769589999993","42.69587710000003 , -88.94805120000034",urban-urban,1939
"42.69908789999999 , -88.87544980000021","42.5263072 , -89.13469",urban-urban,2028
"42.859188 , -89.18629200000001","42.62086999999986 , -89.09340699999998",urban-urban,1694
"46.587329500000145 , -90.93733879999968","46.60995669999997 , -91.30886309999971",urban-urban,1976
"43.8325561 , -89.70609730000001","44.15567400000021 , -89.73735699999969",urban-urban,2046
"45.293632999999765 , -88.28594099999923","45.315477800000146 , -87.94004740000008",urban-urban,1754
"43.1967154 , -90.72878080000008","43.30506099999967 , -91.03212990000011",urban-urban,2047
"45.20966599999999 , -87.72883070000017","44.96874599999993 , -87.75012499999937",urban-urban,1735
"45.366861 , -92.32633700000001","45.10032099999994 , -92.45765810000042",urban-urban,2025
"45.22916419999992 , -88.26744579999988","44.961309000000064 , -88.25487330000027",urban-urban,2065
"46.68190259999988 , -91.28946239999996","46.43046490000007 , -91.41102299999993",urban-urban,2063
"42.86585099999998 , -89.45690599999955","42.875569000000034 , -89.15115900000023",urban-urban,1668
"42.513433699999986 , -87.8132377999999","42.712240000000094 , -87.83344609999979",urban-urban,1831
"43.338042000000065 , -88.64137099999952","43.35380820000009 , -88.29697970000016",urban-urban,1616
"44.419111200000074 , -88.01743979999986","44.26409869999998 , -88.27346859999994",urban-urban,1977
"46.55229499999992 , -91.40730450000025","46.767877900001395 , -91.2448843999996",urban-urban,1804
"45.21337800000005 , -92.56257900000011","44.93248570000005 , -92.53013370000036",urban-urban,2034
"45.79644399999999 , -89.17884199999983","45.86531270000019 , -88.81794989999989",urban-urban,1812
"45.16257099999994 , -87.84210579999962","44.97535900000008 , -87.66248800000015",urban-urban,1658
"44.82086900000008 , -90.4959669999998","44.80584900000013 , -89.96414760000013",urban-urban,2031
"45.89484229999997 , -92.48705509999975","45.621178999999934 , -92.53898499999987",urban-urban,2006
"42.94406904999998 , -91.02211929999996","42.866798 , -90.73937300000019",urban-urban,1787
"43.38391765000004 , -88.30261260000009","43.36588599999997 , -88.63015200000032",urban-urban,2008
"46.615326000000145 , -90.9328594","46.604753300000034 , -91.296653",urban-urban,1839
"44.91490000000019 , -90.47851199999992","44.57486 , -90.43597399999983",urban-urban,1926
"45.6977119999998 , -92.36609399999966","45.74430530000011 , -92.73386089999985",urban-urban,1889
"42.73856359999996 , -88.95736829999989","42.556050999999975 , -89.19364500000005",urban-urban,2032
"42.701113500000005 , -89.26557290000005","42.71316149999999 , -88.96928590000019",urban-urban,1552
"46.60923790000007 , -90.80143489999983","46.56483419999995 , -91.16405110000014",urban-urban,1944
"45.54088200000002 , -92.45964800000017","45.80478799999988 , -92.54308700000055",urban-urban,1919
"43.29020599999996 , -89.18345600000002","43.04755480000012 , -89.16456640000028",urban-urban,1746
"44.95844180000007 , -92.49176740000019","44.67101739999983 , -92.44449510000018",urban-urban,2009
"42.62524700000012 , -87.82880389999993","42.81901100000006 , -87.80882099999992",urban-urban,1872
"46.574005499999956 , -90.75921189999997","46.627238000000034 , -91.11781840000002",urban-urban,1984
"43.53394100000006 , -89.27616900000035","43.262932300000024 , -89.2696678",urban-urban,1865
"42.729598400000036 , -87.82084899999998","42.52921559999986 , -87.84823749999991",urban-urban,1864
"45.08989420000008 , -92.53753440000017","44.81870600000005 , -92.4565540000001",urban-urban,1842
"45.26188499999992 , -92.54009000000018","44.981802900000076 , -92.51728440000024",urban-urban,2007
"42.7263109999999 , -90.04478999999954","42.52359409999998 , -89.9463612999999",urban-urban,1880
"42.95227400000026 , -89.26400999999956","43.18448349999987 , -89.1423130999998",urban-urban,2061
"45.45342599999981 , -92.45135299999957","45.72544600000007 , -92.56425899999984",urban-urban,2052
"43.456115 , -89.26945300000008","43.198570399999916 , -89.27449789999964",urban-urban,1797
"42.55565999999996 , -89.18209300000007","42.78071389999983 , -89.21267169999959",urban-urban,1645
"45.122493999999996 , -92.47728700000046","45.40324399999988 , -92.48953100000017",urban-urban,1736
"44.78637600000013 , -90.08129199999998","44.81371199999977 , -90.56917000000021",urban-urban,1976
"45.8758134000001 , -89.20301609999999","45.747534800000196 , -88.85836140000013",urban-urban,2038
"46.622406999999825 , -91.70534000000018","46.604270000000035 , -92.09653099999946",urban-urban,1789
"46.58771930000009 , -90.82390799999963","46.59663499999994 , -91.18977650000011",urban-urban,1919
"42.526045499999995 , -89.14458740000003","42.75864260000001 , -89.04970070000029",urban-urban,1910
"42.70924260000002 , -87.7864189000004","42.55853299999999 , -87.91707350000064",urban-urban,1690
"42.67960040000007 , -89.01929839999978","42.51261370000013 , -89.22981860000017",urban-urban,1860
"43.29140799999987 , -89.1236990000001","43.29371899999997 , -89.51913100000003",urban-urban,1973
"45.801073000000066 , -89.01966969999997","45.88057810000022 , -88.66638210000022",urban-urban,2010
"44.985947199999934 , -92.46719579999957","45.29008299999999 , -92.47894799999997",urban-urban,1885
"44.90323510000001 , -92.31330060000002","44.86962509999969 , -92.71233220000025",urban-urban,1739
"45.5080149999999 , -92.44767699999979","45.78528840000001 , -92.47098620000001",urban-urban,1996
"44.96560350000034 , -90.45452349999988","44.632729000000175 , -90.4428680000001",urban-urban,2013
"44.763944999999985 , -90.71999399999989","44.81485700000017 , -90.2282790000001",urban-urban,2034
"45.39350019999992 , -92.63651190000041","45.11510459999983 , -92.58893889999952",urban-urban,2059
"45.05493050000004 , -88.25729870000026","45.297138500000344 , -88.17900619999998",urban-urban,1974
"42.69386400000004 , -87.82307799999984","42.50227740000005 , -87.80553549999935",urban-urban,1575
"44.799297999999986 , -90.44805599999964","44.473139999999795 , -90.55201900000023",urban-urban,2043
"45.79396600000011 , -88.89094669999984","45.88760099999965 , -89.23800480000008",urban-urban,2057
"46.49617600000003 , -91.09292510000017","46.747133800000164 , -91.09382860000021",urban-urban,1997
"45.71413800000004 , -92.52525700000002","45.4480172 , -92.46419860000046",urban-urban,1821
"42.875452000000166 , -89.16050900000029","43.10417800000009 , -89.23161499999998",urban-urban,1817
