origin,destination,area,ttpTravelTime
"43.87580600000008 , -104.85845000000009","43.972389000000035 , -105.03348800000028",urban-urban,1695
"44.634640000000026 , -106.62502700000009","44.79037100000001 , -106.7582859999998",urban-urban,1549
"43.938557000000046 , -105.78647749999998","44.023516400000005 , -106.06675759999975",urban-urban,1827
"41.46750179999997 , -104.07311959999991","41.28819599999998 , -104.4362120000003",urban-urban,1777
"41.33313300000003 , -104.308278","41.253663399999915 , -104.12265240000016",urban-urban,1613
"44.270875700000154 , -104.95278100000012","44.45143899999991 , -105.0423280000002",urban-urban,1869
"44.850628000000135 , -108.76588899999975","44.95055099999997 , -108.8878180000003",urban-urban,1821
"44.88556000000007 , -106.73059200000007","44.70198200000002 , -106.70865900000011",urban-urban,1862
"43.95643299999998 , -108.74330100000003","43.98484129999993 , -108.96216750000002",urban-urban,2066
"44.82861899999995 , -108.60859250000021","44.912999000000084 , -108.76481099999988",urban-urban,1732
"43.724787999999926 , -106.52198699999992","43.94110600000008 , -106.52376500000017",urban-urban,2035
"41.79533100000005 , -104.78958910000001","41.74710999999996 , -105.052979",urban-urban,1735
"43.960130000000206 , -104.97184099999971","44.06862600000022 , -104.6791689999997",urban-urban,2070
"41.346300500000034 , -104.52081100000005","41.46188880000001 , -104.07276959999997",urban-urban,1799
"44.20665000000018 , -104.88516000000018","43.93867600000013 , -104.8955230000001",urban-urban,2040
"41.289003 , -104.2535391","41.40918030000014 , -104.10262080000007",urban-urban,1602
"44.98452800000004 , -108.6881510000002","44.857357 , -108.79245900000001",urban-urban,1533
"41.43578130000017 , -105.00514640000017","41.38650600000008 , -104.76852099999924",urban-urban,1659
"43.34274699999978 , -109.21137100000016","43.498943 , -109.28069900000017",urban-urban,1799
"44.270810499999925 , -105.48612340000017","44.42288700000002 , -105.68113900000014",urban-urban,1925
"42.44301860000001 , -104.70734839999987","42.52856220000004 , -104.94208049999999",urban-urban,1751
"44.0314169999999 , -108.8627400000001","44.015322900000015 , -108.61676909999981",urban-urban,1880
"43.10637980000008 , -108.67776079999967","43.00007290000037 , -108.50154589999957",urban-urban,1816
"44.05157099999966 , -105.00294500000014","44.09623000000001 , -104.69084199999995",urban-urban,1911
"41.21540889999999 , -104.1197135","41.259526999999906 , -104.40675600000012",urban-urban,1636
"41.40397399999992 , -104.16000000000011","41.17292139999978 , -104.44559399999953",urban-urban,1677
"44.71542200000001 , -106.71847600000011","44.92092900000007 , -106.73789199999989",urban-urban,2040
"42.209280399999955 , -110.20571990000019","42.18593780000006 , -110.38409510000001",urban-urban,1893
"43.80985599999999 , -105.87556499999987","43.89705540000056 , -105.59354490000027",urban-urban,1949
"42.61005210000001 , -109.73105159999994","42.39122660000012 , -109.75835839999961",urban-urban,1689
"43.44408099999994 , -109.18404700000006","43.34535000000019 , -109.04068799999952",urban-urban,2025
"41.52691600000005 , -105.06777900000021","41.634925999999595 , -105.25765600000011",urban-urban,1991
"44.02926600000008 , -107.39864300000002","43.981473000000186 , -107.11754600000037",urban-urban,1986
"41.54352109999997 , -105.07795449999992","41.6616960000001 , -105.2618729999998",urban-urban,1932
"43.691429900000024 , -105.87894510000052","43.889557 , -105.67164599999985",urban-urban,1904
"41.20363059999984 , -104.77658779999973","41.08499999999992 , -104.6595958000001",urban-urban,1668
"44.716299000000056 , -106.72323200000005","44.914798999999896 , -106.75228200000012",urban-urban,1926
"43.74867600000027 , -108.7516469999995","43.80728980000007 , -108.94239949999972",urban-urban,1568
"42.15318780000019 , -110.21320039999999","42.19580230000005 , -110.45041960000003",urban-urban,1687
"44.920662 , -108.83339099999996","44.97334990000005 , -108.66498350000019",urban-urban,2041
"41.60378299999992 , -105.2438379999998","41.77402299999989 , -105.26844699999992",urban-urban,1842
"43.98296300000004 , -105.62753700000003","43.7447209 , -105.80550150000029",urban-urban,1965
"44.153811999999846 , -107.8963120000001","44.04719160000005 , -107.66972549999987",urban-urban,1920
"44.470773000000015 , -105.74551609999968","44.301177699999855 , -105.55857970000032",urban-urban,2041
"41.84199750000003 , -104.18771119999974","41.692580000000135 , -104.11272599999972",urban-urban,1885
"41.63662690000016 , -104.75656130000019","41.66632800000002 , -104.44869499999984",urban-urban,1926
"44.88374000000006 , -106.05274400000015","44.70834480000004 , -106.12394760000011",urban-urban,1695
"43.91364900000003 , -105.64932289999997","44.20733740000036 , -105.60427989999953",urban-urban,1814
"41.44520399999999 , -104.09619300000028","41.33638200000004 , -104.30712399999999",urban-urban,1618
"44.080748000000256 , -104.66127099999967","44.19497500000006 , -104.94622999999969",urban-urban,1975
"44.848294000000095 , -108.87247000000028","44.92959799999995 , -108.7283719999999",urban-urban,1983
"41.74827100000005 , -104.20997199999994","41.951974999999926 , -104.18885000000023",urban-urban,1831
"44.101147999999974 , -107.64211800000001","44.13928449999983 , -107.89369399999968",urban-urban,1926
"44.056010999999984 , -107.69049300000005","44.16120699999984 , -107.88839900000006",urban-urban,1728
"43.98739400000009 , -104.81461700000004","44.182617999999955 , -104.92153100000012",urban-urban,1577
"41.4203709 , -104.10198669999963","41.304482250000056 , -104.31080575000006",urban-urban,1549
"41.253873 , -104.25344","41.40778774999998 , -104.13095100000002",urban-urban,1705
"44.04641799999999 , -105.07064299999989","44.020345000000056 , -104.78095200000007",urban-urban,1907
"42.12168649999995 , -105.69343060000011","42.313118999999936 , -105.84375500000039",urban-urban,1968
"43.695110200000016 , -105.89310200000051","43.86722200000001 , -105.69543100000008",urban-urban,1919
"41.44768509999998 , -104.13167590000005","41.349552999999936 , -104.47802689999997",urban-urban,1554
"41.419401200000024 , -105.01597519999989","41.423696999999926 , -104.70653200000014",urban-urban,2031
"43.969970999999894 , -108.98639429999993","43.99517239999994 , -108.72508730000014",urban-urban,2015
"41.22978429999999 , -104.11953150000001","41.28921699999998 , -104.43487900000028",urban-urban,1715
"44.22496770000009 , -104.87425430000081","44.04332999999998 , -105.04813199999991",urban-urban,1940
"42.5176257 , -104.93633799999992","42.375624299999906 , -104.7552277999999",urban-urban,2044
"44.70808200000007 , -106.77647599999999","44.890156999999896 , -106.7428170000001",urban-urban,1853
"43.978247000000124 , -104.9221300000002","44.19085500000021 , -104.90335499999996",urban-urban,2070
"41.27335959999978 , -105.52425560000034","41.216523600000016 , -105.72416869999999",urban-urban,1602
"43.49259399999988 , -109.10331900000001","43.326059249999986 , -109.01186725000002",urban-urban,1587
"41.69618100000016 , -104.16853699999974","41.89568699999989 , -104.20815500000027",urban-urban,1658
"43.80405400000009 , -104.81384400000015","44.005838999999916 , -104.86371799999937",urban-urban,1797
"43.79527480000011 , -105.88689709999989","43.95369099999976 , -105.62620400000002",urban-urban,2059
"44.77934799999989 , -107.02334200000026","44.945078999999886 , -106.8179810000001",urban-urban,1872
"43.48324000000036 , -109.26257100000008","43.31023170000005 , -109.18043730000056",urban-urban,2013
"43.48168800000008 , -109.10246399999977","43.33823100000001 , -109.01697800000005",urban-urban,1558
"44.17337070000004 , -105.62428590000034","43.93030400000012 , -105.60374799999997",urban-urban,1761
"43.31038900000011 , -109.03656999999954","43.45860219999998 , -109.08268259999998",urban-urban,1968
"41.674708000000116 , -105.25012799999965","41.55462 , -105.08928400000019",urban-urban,1947
"43.91498099999989 , -108.87730699999976","44.00913500000001 , -108.65409699999981",urban-urban,2020
"44.08723000000002 , -105.01464900000008","44.06873000000007 , -104.70295999999954",urban-urban,1577
"41.61048000000018 , -105.2180279999999","41.49940599999988 , -104.99956699999976",urban-urban,2063
"42.07027280000006 , -104.63675500000005","42.07474259999985 , -104.40148909999941",urban-urban,1686
"41.360644499999886 , -104.30584649999997","41.172772400000056 , -104.05874550000014",urban-urban,1549
"42.157609600000086 , -110.18781140000006","42.19674400000006 , -110.44671400000003",urban-urban,1809
"44.837596 , -108.62103099999999","44.95966000000009 , -108.72545200000027",urban-urban,1565
"44.170931000000024 , -104.86243200000004","43.94946900000005 , -104.8907360000001",urban-urban,1935
"43.99896069999997 , -108.76534409999978","43.95432319999988 , -109.00888279999994",urban-urban,1828
"43.81546760000003 , -105.68453259999991","44.06386399999993 , -105.59191600000048",urban-urban,1868
"44.46095200000037 , -104.98369099999972","44.31867079999983 , -105.19574599999993",urban-urban,2043
"44.250565600000094 , -104.93083770000075","44.02845399999999 , -105.01022599999996",urban-urban,2055
"41.637939900000134 , -104.69573960000018","41.66664800000001 , -104.44899999999986",urban-urban,1596
"44.15091499999967 , -104.87264200000007","43.947620000000065 , -104.9013100000001",urban-urban,1733
"43.907751700000006 , -105.65788469999985","43.67693479999995 , -105.7134144000001",urban-urban,1572
"44.84444099999981 , -108.84431999999927","44.97408399999998 , -108.93932000000014",urban-urban,1690
"43.88558200000036 , -104.29662199999952","44.11007200000005 , -104.22714500000033",urban-urban,1977
"44.00209719999999 , -108.77685549999975","43.96650229999989 , -109.00171829999992",urban-urban,1662
"43.063195799999896 , -110.26478229999988","43.16854590000032 , -110.11758860000029",urban-urban,1979
"41.62957600000016 , -105.23740300000003","41.517316800000096 , -104.98039369999931",urban-urban,2000
